n_observations,bayesian_0_mse,bayesian_0_mae,bayesian_0_rmse,bayesian_0_correlation,bayesian_0_covariance,bayesian_gridsearch_1_mse,bayesian_gridsearch_1_mae,bayesian_gridsearch_1_rmse,bayesian_gridsearch_1_correlation,bayesian_gridsearch_1_covariance,dirichlet_2_mse,dirichlet_2_mae,dirichlet_2_rmse,dirichlet_2_correlation,dirichlet_2_covariance,spatial_3_mse,spatial_3_mae,spatial_3_rmse,spatial_3_correlation,spatial_3_covariance
100,0.1258348369255231,0.29013946036057786,0.35473206357125814,0.48726545746050937,1.5874280514914693e-06,0.1258348369255231,0.29013946036057786,0.35473206357125814,0.48726545746050937,1.5874280514914693e-06,0.24450988388943348,0.40610062583156753,0.4944794069417183,0.30738488431491634,1.387347270697033e-06,1.4633947404471714,1.0021103543275973,1.209708535328726,0.32794605353725864,4.069210513272817e-06
250,0.0805407635276281,0.23723572863407785,0.2837970463687529,0.6458852626062971,1.8485936008003981e-06,0.08273450383445079,0.2296481225592158,0.2876360614291101,0.6606292427749398,2.1246496908279535e-06,0.24859510123460382,0.3893296539036449,0.4985931219286963,0.39768799592965975,1.987922557686304e-06,0.6015418772129603,0.612161621147769,0.7755913081081816,0.42085546717029315,3.4904648082024825e-06
500,0.07207156329229537,0.21219816555783963,0.268461474502945,0.7148582721121035,2.403675770264067e-06,0.08417498785167697,0.22789794666842575,0.29012926059202815,0.6994032706425791,2.6024787314829287e-06,0.2009430312389723,0.3481820224205306,0.4482666965534829,0.5411135152084047,2.7538365890168033e-06,0.3319327557656687,0.4591660214340538,0.5761360566443214,0.5617871049659378,3.790833709038133e-06
750,0.08418029504075776,0.22735194509558454,0.29013840669714475,0.6684674581686011,2.260916575673249e-06,0.09676280109830793,0.24731971330359764,0.31106719707855396,0.6415242310989079,2.310868951616334e-06,0.19326860351107902,0.338376471138499,0.4396232517862073,0.5157106381094041,2.4905446417495007e-06,0.26208107486289806,0.4058360796708938,0.5119385459827166,0.5323783673077644,3.112485369465389e-06
1000,0.06013415453274364,0.190776550967348,0.24522266317113442,0.7613251987170507,2.547265149313884e-06,0.0510564771399778,0.17080523946145615,0.22595680370366766,0.799059739420726,2.699417967360085e-06,0.12438644680902608,0.2834472465813025,0.3526846279738119,0.6590000186385254,2.956036748691361e-06,0.15467285859045202,0.31149622045459463,0.39328470424166256,0.6760567697261307,3.500204429997251e-06
1500,0.060903576393250836,0.18447079262790989,0.2467864996170796,0.7751078054485693,2.7993057124526925e-06,0.07220661444501282,0.2051545690882743,0.26871288477669397,0.7427483307800857,2.767221970327871e-06,0.11043030287857797,0.2700329973057246,0.33231055186162534,0.6733541088211764,2.8761738488491197e-06,0.12037485274750048,0.27650327844153405,0.34695079297718934,0.6941569935399422,3.23351191200705e-06
2000,0.041718132051252535,0.1610359836098667,0.20425017026003317,0.8368916901001517,2.8479099791377087e-06,0.041718132051252535,0.1610359836098667,0.20425017026003317,0.8368916901001517,2.8479099791377087e-06,0.0853880797069525,0.21766521927478633,0.29221238801076266,0.7456192044432762,3.143015865636755e-06,0.09128663855102816,0.2280842970651405,0.3021367878147713,0.7591430594305856,3.4158220487479347e-06
2500,0.03965699251685331,0.1529607724663525,0.19914063502171853,0.8449827067835989,2.87550619090195e-06,0.04893191720842418,0.16386176699710003,0.2212055994056755,0.8194576741983182,2.9606715085110788e-06,0.07090440559210558,0.21151925516132972,0.26627881175960205,0.7841970610173493,3.2454592711007874e-06,0.07242435661431307,0.21355875624198117,0.2691177374576285,0.7988910551991603,3.4665653311146723e-06
3000,0.04333974277926649,0.1633126999249925,0.2081819943685488,0.8348837950478841,2.926158136083856e-06,0.04333974277926649,0.1633126999249925,0.2081819943685488,0.8348837950478841,2.926158136083856e-06,0.0660733905621055,0.2088307284506155,0.25704744807545843,0.8000697544524518,3.3136606147470896e-06,0.06399429935512804,0.2047798253384208,0.252970945673862,0.8176918398434884,3.485259165336801e-06
3500,0.039078936992252775,0.1528586167364866,0.19768393205380344,0.8537677836793502,3.045267083765729e-06,0.04582389949063836,0.17154069658722826,0.21406517580082557,0.841119133417249,3.1866658171229933e-06,0.05319357836726826,0.17668544605147654,0.23063733081890334,0.8302957541886832,3.319188769265989e-06,0.049849791590292875,0.17194592227821928,0.2232706688982968,0.8483181279352089,3.4688728948102485e-06
5000,0.027323907529515398,0.12171531179468731,0.16529944806173855,0.8990836932628551,3.2421410306084176e-06,0.027323907529515398,0.12171531179468731,0.16529944806173855,0.8990836932628551,3.2421410306084176e-06,0.030612275679114904,0.14004113103323818,0.1749636410203986,0.8970336578604168,3.440705588595461e-06,0.0296814565051628,0.1369253504225427,0.17228307086061243,0.9048544311638026,3.5515947558982286e-06
7500,0.01718999861103891,0.10484400692775993,0.1311106350035683,0.9348503345134453,3.2939475687681946e-06,0.019116155451129685,0.1095865769089545,0.13826118562752773,0.9299885969338751,3.371351735600497e-06,0.01708278046299763,0.10448883607340317,0.13070111117736385,0.9389363488676118,3.454576873272231e-06,0.01599876173941549,0.10097964958801399,0.12648621165730078,0.9440946749298662,3.5135809281872557e-06
10000,0.020124772560197374,0.11046385669651163,0.1418618079688729,0.9260993578587128,3.3515299876116557e-06,0.019217549613104082,0.10608267691859535,0.13862737685285717,0.9299542854347486,3.382581456715472e-06,0.020364975155910216,0.11280533300740385,0.1427059044185286,0.9320198519938574,3.558900088351956e-06,0.01831611711458225,0.10654550687829192,0.1353370500438895,0.9394975795975449,3.595159193164107e-06
15000,0.012843877803807625,0.09067328634187842,0.11333083342059928,0.9507212543792709,3.3022366645413184e-06,0.011763419224936011,0.08469437428748786,0.10845929754952321,0.9547085000217486,3.296510009589086e-06,0.0098634950029752,0.07860784507189066,0.0993151297787764,0.9630386316584163,3.42724427450502e-06,0.008584811476153666,0.07357379351711542,0.0926542577335422,0.9677805592319474,3.439469782592657e-06
20000,0.012707470527589325,0.08906641678107496,0.11272741692946453,0.9506637979497254,3.216197732090309e-06,0.013146755937709606,0.0903028607013305,0.11465930375555926,0.9496317739005933,3.3050964513223785e-06,0.009852866985203408,0.07997641345090371,0.09926160881833121,0.9628087082855654,3.405512630147886e-06,0.009075680140467559,0.07572437886992284,0.09526636416105927,0.9656951152651938,3.4113773909611863e-06
